Date,Value
1975-01-31,34.527917546
1975-02-28,35.026256152
1975-03-31,35.536666193
1975-04-30,36.0747573
1975-05-31,36.676178067
1975-06-30,37.331373255
1975-07-31,37.987138321
1975-08-31,38.583532557
1975-09-30,39.097703738
1975-10-31,39.542570058
1975-11-30,39.910644181
1975-12-31,40.192038073
1976-01-31,40.406047528
1976-02-29,40.59486115
1976-03-31,40.784457348
1976-04-30,40.974509138
1976-05-31,41.15573995
1976-06-30,41.322536819
1976-07-31,41.459034977
1976-08-31,41.566590856
1976-09-30,41.722867447
1976-10-31,41.988406785
1976-11-30,42.348538716
1976-12-31,42.774532688
1977-01-31,43.224783152
1977-02-28,43.649276049
1977-03-31,44.00569979
1977-04-30,44.295271629
1977-05-31,44.558602456
1977-06-30,44.821363929
1977-07-31,45.094089595
1977-08-31,45.361232773
1977-09-30,45.611586319
1977-10-31,45.878113508
1977-11-30,46.2141323
1977-12-31,46.641319118
1978-01-31,47.124087979
1978-02-28,47.651567435
1978-03-31,48.251564904
1978-04-30,48.885837547
1978-05-31,49.476070316
1978-06-30,49.94974643
1978-07-31,50.238216313
1978-08-31,50.355111821
1978-09-30,50.424635601
1978-10-31,50.590313912
1978-11-30,50.931956125
1978-12-31,51.458028382
1979-01-31,52.131257985
1979-02-28,52.944750643
1979-03-31,53.919217208
1979-04-30,54.969813248
1979-05-31,55.854231162
1979-06-30,56.33356443
1979-07-31,56.391191748
1979-08-31,56.187117119
1979-09-30,55.90088583
1979-10-31,55.669951659
1979-11-30,55.554736034
1979-12-31,55.542252603
1980-01-31,55.56430502
1980-02-29,55.540172063
1980-03-31,55.420034645
1980-04-30,55.223244036
1980-05-31,55.019507494
1980-06-30,54.883288879
1980-07-31,54.871590093
1980-08-31,55.026952983
1980-09-30,55.37771978
1980-10-31,55.917128272
1980-11-30,56.61866697
1980-12-31,57.456986646
1981-01-31,58.404267819
1981-02-28,59.427558841
1981-03-31,60.501964297
1981-04-30,61.616441783
1981-05-31,62.758924489
1981-06-30,63.92393377
1981-07-31,65.122122377
1981-08-31,66.350804044
1981-09-30,67.588088225
1981-10-31,68.810297609
1981-11-30,69.988566717
1981-12-31,71.091130937
1982-01-31,72.091911947
1982-02-28,72.980854733
1982-03-31,73.776149324
1982-04-30,74.510399987
1982-05-31,75.190196607
1982-06-30,75.77877989
1982-07-31,76.232798151
1982-08-31,76.552557373
1982-09-30,76.802768512
1982-10-31,77.089181537
1982-11-30,77.494850689
1982-12-31,78.045626762
1983-01-31,78.727630807
1983-02-28,79.513518575
1983-03-31,80.375045486
1983-04-30,81.297027161
1983-05-31,82.271205328
1983-06-30,83.231708786
1983-07-31,84.076376499
1983-08-31,84.77092014
1983-09-30,85.330237232
1983-10-31,85.753040834
1983-11-30,85.998903931
1983-12-31,86.030942194
1984-01-31,85.837965334
1984-02-29,85.476378406
1984-03-31,85.14660812
1984-04-30,85.118590471
1984-05-31,85.462179355
1984-06-30,85.932034997
1984-07-31,86.272442329
1984-08-31,86.441231745
1984-09-30,86.443646925
1984-10-31,86.180823404
1984-11-30,85.585354798
1984-12-31,84.745176026
1985-01-31,83.899067589
1985-02-28,83.303012179
1985-03-31,83.076521575
1985-04-30,83.194074151
1985-05-31,83.456760299
1985-06-30,83.498420605
1985-07-31,83.043495171
1985-08-31,82.208787525
1985-09-30,81.35004482
1985-10-31,80.73449178
1985-11-30,80.396809517
1985-12-31,80.179231827
1986-01-31,80.035624498
1986-02-28,80.038309976
1986-03-31,80.186590275
1986-04-30,80.431041186
1986-05-31,80.62082552
1986-06-30,80.450439859
1986-07-31,79.748633017
1986-08-31,78.768137362
1986-09-30,77.81200727
1986-10-31,77.037421916
1986-11-30,76.4673858
1986-12-31,75.847721354
1987-01-31,74.98283242
1987-02-28,73.863800766
1987-03-31,72.508657364
1987-04-30,70.979742665
1987-05-31,69.346672344
1987-06-30,67.68573056
1987-07-31,66.114691622
1987-08-31,64.678608562
1987-09-30,63.355009748
1987-10-31,62.248359008
1987-11-30,61.604865441
1987-12-31,61.69702056
1988-01-31,62.612814313
1988-02-29,64.107973967
1988-03-31,65.525055755
1988-04-30,66.287980577
1988-05-31,66.732863109
1988-06-30,67.471691743
1988-07-31,68.581143313
1988-08-31,69.932850141
1988-09-30,71.524368402
1988-10-31,73.15697208
1988-11-30,74.189267475
1988-12-31,74.049034214
1989-01-31,72.468899683
1989-02-28,69.466668832
1989-03-31,65.667009981
1989-04-30,62.234576586
1989-05-31,59.996429397
1989-06-30,58.825765973
1989-07-31,58.14192667
1989-08-31,57.635315218
1989-09-30,57.203899351
1989-10-31,56.760143971
1989-11-30,56.311906214
1989-12-31,56.004716477
1990-01-31,56.036676852
1990-02-28,56.626211574
1990-03-31,57.998601466
1990-04-30,60.272691605
1990-05-31,63.279418053
1990-06-30,66.365452276
1990-07-31,68.69691492
1990-08-31,69.862470557
1990-09-30,70.0821148
1990-10-31,69.796449102
1990-11-30,69.306556289
1990-12-31,68.922671779
1991-01-31,68.910020803
1991-02-28,69.209426249
1991-03-31,69.694332942
1991-04-30,70.390662182
